Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
4652,Yuba ,95692,-121.4340275,39.0409023,58.36,11.57,18.32,93.38,7.31,34.26,68.2,17.0
7831,San Diego,92020,-116.9383632,32.78024,63.61,46.32,37.66,0.0,45.28,37.25,34.35,41.8
11946,Riverside ,92880,-117.575648,33.9635863,82.48,93.96,41.07,54.79,6.33,28.35,87.18,8.5
4845,Los Angeles,91001,-118.1543957,34.2084457,84.58,57.81,5.35,37.17,4.66,45.6,29.77,28.0
7369,San Diego,92111,-117.1718159,32.8149643,37.57,43.07,66.96,0.0,57.09,54.1,17.5,16.9
6968,San Bernardino,92374,-117.1476465,34.0628653,100.0,54.95,38.69,77.55,9.23,60.85,57.38,18.3
5029,San Luis Obispo,93446,-120.7906393,35.6400242,29.94,4.39,4.36,62.21,13.26,45.01,34.62,37.3
2564,Sacramento ,95632,-121.2976721,38.2470445,53.73,38.78,74.4,0.0,33.33,48.4,85.23,34.5
5781,Riverside ,92276,-116.3874271,33.8211956,88.7,6.81,53.74,0.0,87.36,43.63,73.47,34.9
3578,Solano ,94591,-122.2038733,38.089461,13.62,37.2,59.49,0.0,17.46,72.31,32.6,19.7
4092,Stanislaus ,95356,-121.0036408,37.7001655,67.9,55.18,66.15,85.38,39.29,48.77,34.41,28.3
