Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
3174,Fresno ,93706,-119.7816961,36.7096952,98.18,97.22,95.54,47.82,62.98,97.67,96.31,76.3
6133,San Bernardino,91761,-117.6180131,34.0577805,91.1,93.64,92.12,41.34,55.66,69.78,92.66,72.5
3167,Fresno ,93706,-119.8055044,36.7354914,91.1,97.22,95.42,48.75,39.0,98.33,97.67,86.8
6692,San Joaquin,95203,-121.3145235,37.9405169,53.02,84.02,73.52,60.56,78.29,98.34,97.17,61.3
2206,Fresno ,93725,-119.7178427,36.6816,98.18,97.22,58.22,95.15,24.3,89.54,92.36,66.4
2598,Los Angeles,90023,-118.1974975,34.0175004,53.02,92.89,96.98,0.0,97.19,77.63,77.62,66.4
2396,San Joaquin,95203,-121.3020724,37.952421,53.02,94.0,66.48,79.19,61.94,99.36,91.68,76.2
4106,Fresno ,93706,-119.804314,36.6977507,98.18,97.22,64.14,90.89,7.97,98.42,97.67,74.5
2146,Los Angeles,90023,-118.2244531,34.0299036,53.02,92.89,96.42,0.0,96.63,66.53,40.56,75.7
6343,Fresno ,93721,-119.7762091,36.7276563,98.18,97.22,96.74,76.84,57.96,94.23,97.26,83.4
4165,Stanislaus ,95354,-120.9667385,37.6287607,73.93,92.89,74.88,61.53,42.26,91.09,94.75,78.3
9122,Kern ,93307,-118.9920281,35.3372541,98.18,99.86,62.81,50.07,48.16,89.19,87.52,73.8
6161,Fresno ,93721,-119.7933565,36.743063,98.18,97.22,96.5,75.45,40.59,96.21,75.76,89.5
5936,Fresno ,93725,-119.7577716,36.7107523,98.18,97.22,81.22,0.0,16.22,89.07,91.9,70.7
3618,Los Angeles,90023,-118.2117956,34.0187546,53.02,92.89,95.97,0.0,62.0,77.63,77.62,78.3
5252,Fresno ,93706,-119.8042772,36.717769,98.18,97.22,95.47,86.95,4.17,98.42,97.67,77.5
3353,Los Angeles,90247,-118.286709,33.8771395,40.49,81.66,80.51,73.44,94.72,75.48,62.0,53.4
4756,Fresno ,93725,-119.7410277,36.7026849,98.18,97.22,81.38,59.76,11.43,84.04,83.97,77.8
964,Fresno ,93706,-119.831179,36.7067181,91.1,97.22,39.64,89.09,2.28,98.42,97.67,76.5
3609,Fresno ,93706,-119.8010347,36.726462,98.18,97.22,96.34,66.79,24.21,98.42,97.67,78.7
4724,Los Angeles,90001,-118.2649765,33.9856783,53.02,83.99,79.39,0.0,64.09,89.8,91.45,76.3
1604,Los Angeles,90021,-118.2477686,34.0326196,53.02,92.89,95.21,0.0,90.16,98.64,54.0,65.3
5269,San Joaquin,95206,-121.2878729,37.9431727,53.02,94.01,67.12,73.93,68.81,96.93,94.73,79.5
3151,Fresno ,93706,-119.804301,36.7104697,98.18,97.22,95.28,87.15,5.28,98.42,97.67,80.8
3863,San Joaquin,95202,-121.2853628,37.953996,53.02,94.09,60.86,63.54,30.29,99.53,82.0,86.0
4010,Stanislaus ,95351,-120.982756,37.6209695,73.93,92.89,69.57,63.99,63.1,91.39,98.59,73.5
7590,San Bernardino,92410,-117.3168792,34.100314,98.18,83.99,87.95,0.0,59.82,96.61,98.06,74.0
3495,Los Angeles,90002,-118.2314205,33.947117,40.49,81.66,76.48,0.0,71.48,88.88,91.68,75.4
3921,Fresno ,93706,-119.8277069,36.7345353,91.1,97.22,60.39,64.4,24.68,98.35,97.56,65.6
4497,Riverside ,92501,-117.3763853,33.9798271,98.18,92.89,83.22,0.0,69.66,94.53,89.86,56.2
7904,Fresno ,93662,-119.6279131,36.5629769,98.18,97.49,46.48,84.07,35.37,92.99,86.7,71.2
5350,Los Angeles,90059,-118.2350934,33.9327963,40.49,81.66,76.48,0.0,95.1,93.67,87.08,76.0
2666,Los Angeles,90220,-118.2238692,33.8611473,31.84,69.14,86.8,68.66,81.13,94.05,90.91,34.1
2216,San Bernardino,92401,-117.2926063,34.1006404,98.18,81.66,92.1,0.0,53.59,97.68,99.61,89.3
4101,Los Angeles,90023,-118.2158297,34.0366414,53.02,92.89,96.49,0.0,97.16,80.6,66.09,71.0
4662,Los Angeles,90011,-118.2469968,34.0185256,53.02,92.89,94.51,0.0,66.89,73.52,71.01,72.2
7841,Stanislaus ,95351,-121.0188436,37.6049206,73.93,92.89,53.38,88.12,71.35,84.7,89.7,65.6
2860,Fresno ,93721,-119.7927732,36.7369244,98.18,97.22,97.01,71.09,12.57,78.53,96.55,84.1
5592,San Joaquin,95205,-121.2605554,37.9516762,53.02,94.2,63.76,63.3,58.57,90.89,92.53,75.5
5275,Los Angeles,90033,-118.2246242,34.046259,53.02,92.89,97.97,0.0,95.91,91.51,77.21,69.2
2068,Los Angeles,90021,-118.2502739,34.0244835,53.02,92.89,94.19,0.0,93.38,88.14,66.56,79.3
3454,Los Angeles,90001,-118.2628927,33.9729857,53.02,81.66,79.39,0.0,77.92,80.31,81.41,72.2
6369,Fresno ,93728,-119.8328803,36.7572824,91.1,97.22,91.89,11.57,58.83,89.73,61.0,80.7
6006,San Joaquin,95330,-121.3027448,37.8446844,64.8,81.66,40.76,92.49,71.25,74.73,80.01,34.7
4839,Los Angeles,90033,-118.1964766,34.059079,53.02,92.89,86.68,0.0,97.28,82.86,58.86,76.1
2213,Los Angeles,90063,-118.183979,34.0592143,53.02,83.99,86.68,0.0,88.8,62.24,78.62,54.3
2227,San Diego,92113,-117.1411746,32.6948502,22.34,66.23,99.65,0.0,73.37,97.23,70.78,82.8
