Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
6198,Los Angeles,91201,-118.2865467,34.1623874,73.93,81.66,77.93,0.0,91.88,29.67,73.79,49.9
3081,Los Angeles,90065,-118.2242419,34.0887194,53.02,92.89,82.04,0.0,88.13,78.29,47.2,65.6
4867,Los Angeles,90220,-118.230032,33.8798617,31.84,81.66,90.17,0.0,85.66,94.9,92.36,62.9
2220,Riverside ,92507,-117.3560514,33.9857419,98.18,92.89,94.64,0.0,83.87,70.75,63.96,64.8
4268,San Bernardino,92324,-117.3233041,34.0602092,98.18,83.99,83.45,0.0,85.16,91.5,99.15,70.0
6709,Los Angeles,90023,-118.1827241,34.0169019,53.02,83.99,96.98,0.0,98.21,63.56,58.01,65.6
5653,Fresno ,93702,-119.7499923,36.732259,98.18,97.22,74.1,28.67,37.6,96.57,99.43,82.7
5431,Fresno ,93702,-119.7634654,36.7540827,98.18,97.22,94.67,0.0,72.49,95.76,99.18,87.5
5170,Los Angeles,91766,-117.7349296,34.0542821,82.1,92.89,69.7,0.0,46.06,75.28,72.45,71.8
5796,Fresno ,93702,-119.7455349,36.7250147,98.18,97.22,74.1,26.25,17.81,95.92,99.25,81.4
2771,San Joaquin,95206,-121.2686436,37.9313083,53.02,84.18,66.04,66.9,13.77,97.41,97.24,68.3
3987,Los Angeles,90040,-118.1526793,33.9862905,53.02,81.66,78.56,0.0,88.71,64.92,76.59,47.7
2888,Fresno ,93702,-119.7591482,36.7250069,98.18,97.22,74.1,0.0,16.18,92.61,96.32,92.1
6537,Kern ,93307,-118.9879161,35.3613217,98.18,100.0,77.44,0.0,39.7,89.19,87.52,80.6
3766,Los Angeles,90023,-118.2142985,34.0245059,53.02,92.89,94.57,0.0,66.42,77.63,77.62,78.8
6616,Los Angeles,90805,-118.1668021,33.8674703,31.84,69.14,74.0,55.37,75.05,88.38,80.64,45.2
4967,Los Angeles,90247,-118.2870814,33.8886904,40.49,81.66,80.54,66.86,94.89,78.82,66.7,53.0
5234,Los Angeles,90016,-118.3605226,34.0297377,53.02,81.66,74.5,18.63,97.74,92.92,74.21,74.8
5790,Los Angeles,90201,-118.1611103,33.959603,53.02,81.66,51.4,69.18,51.1,53.9,75.41,75.4
2384,Los Angeles,90059,-118.2282398,33.9326754,40.49,81.66,76.48,0.0,93.76,89.58,77.31,80.2
4442,Riverside ,92518,-117.278368,33.8891026,98.18,92.89,47.34,12.85,76.99,75.99,79.92,67.8
9743,Kern ,93307,-118.9452577,35.3590376,98.18,100.0,76.63,41.59,31.73,88.06,85.15,76.3
5840,San Bernardino,92335,-117.4772152,34.0743336,98.18,93.64,84.01,64.99,86.28,78.34,89.71,50.0
7929,Fresno ,93648,-119.5507133,36.6214407,98.18,97.73,26.16,95.53,11.57,93.26,95.47,74.7
3606,Fresno ,93701,-119.781537,36.7444057,98.18,97.22,96.75,52.87,66.86,97.03,85.0,80.7
2714,Los Angeles,90002,-118.2336329,33.945396,40.49,81.66,76.48,0.0,59.11,88.88,91.68,87.2
3064,Los Angeles,90033,-118.2185819,34.057226,53.02,92.89,97.97,0.0,98.68,91.53,77.21,56.5
5944,Los Angeles,91204,-118.2597456,34.1316179,69.23,81.66,75.79,0.0,57.15,76.87,73.27,49.4
1823,Sacramento ,95811,-121.4825199,38.5916037,53.02,40.92,53.98,31.37,80.56,82.7,66.09,90.8
2274,Los Angeles,90023,-118.2058412,34.0238161,53.02,92.89,96.28,0.0,98.97,77.63,77.62,50.7
4707,Los Angeles,90023,-118.1751711,34.0096885,53.02,83.99,96.79,0.0,95.59,70.99,82.13,60.2
5028,San Diego,92113,-117.138677,32.7018526,22.34,66.23,99.65,0.0,84.33,97.23,70.78,72.6
4729,Los Angeles,90011,-118.2608177,33.9925311,53.02,92.89,79.39,0.0,66.44,70.23,66.19,71.3
1164,Los Angeles,90248,-118.2749503,33.8934521,40.49,81.66,80.75,50.55,27.9,77.06,76.75,47.2
6223,Stanislaus ,95351,-121.0038051,37.6223838,73.93,92.89,72.35,0.0,65.32,90.21,97.86,76.4
3673,Los Angeles,90201,-118.1755664,33.9593595,53.02,81.66,57.2,19.29,,44.66,62.0,65.4
4927,San Diego,92113,-117.1263197,32.696749,22.34,66.23,97.08,0.0,75.47,97.23,70.78,76.6
4261,Los Angeles,90003,-118.2752632,33.966092,53.02,81.66,78.01,0.0,99.89,91.35,93.57,79.2
5020,San Joaquin,95206,-121.278407,37.9292396,53.02,92.95,65.99,39.3,17.98,97.41,97.24,74.9
7330,Los Angeles,90805,-118.1922187,33.8676075,31.84,81.66,83.43,51.77,84.12,88.28,80.64,52.6
3617,San Bernardino,92408,-117.2948174,34.0741251,98.18,81.66,93.76,0.0,82.79,91.65,94.04,57.9
4688,Los Angeles,91411,-118.4605367,34.1838638,77.87,66.23,77.32,0.0,84.81,76.03,89.55,71.6
5273,Los Angeles,90059,-118.2426486,33.9363535,40.49,81.66,76.48,0.0,91.93,88.59,78.39,85.5
2651,Riverside ,92504,-117.4058257,33.9303688,98.18,81.66,53.24,60.7,92.54,69.28,62.62,63.4
7898,San Bernardino,92324,-117.3134436,34.0744598,98.18,83.99,94.5,0.0,78.93,88.97,97.79,66.9
4527,Los Angeles,90001,-118.24555,33.9802221,53.02,81.66,72.18,0.0,56.18,84.58,90.45,74.7
5293,Los Angeles,91352,-118.3919494,34.2321411,77.87,81.66,71.49,0.0,91.48,83.12,56.09,70.8
4409,Los Angeles,90001,-118.2520926,33.9864059,53.02,83.99,74.56,0.0,68.03,84.2,90.29,76.3
3755,Los Angeles,90003,-118.2752977,33.9728371,53.02,81.66,79.39,0.0,99.45,91.35,93.57,77.2
5155,Los Angeles,90813,-118.200174,33.7863532,31.84,66.23,83.63,41.79,58.38,95.9,85.34,79.1
5001,San Joaquin,95206,-121.2897337,37.9290303,53.02,92.91,66.46,0.0,78.72,97.41,97.24,72.1
4439,Los Angeles,90201,-118.1672627,33.9580353,53.02,81.66,56.99,63.85,96.33,53.9,75.41,70.9
3794,Los Angeles,91605,-118.3919739,34.2044832,77.87,81.66,66.4,4.74,57.34,84.25,94.95,73.8
3927,Los Angeles,90003,-118.2750006,33.962202,53.02,81.66,75.51,0.0,99.1,91.35,93.57,73.0
839,Los Angeles,90810,-118.2212087,33.7952959,31.84,66.23,91.0,0.0,41.08,79.94,69.52,91.5
3250,San Diego,92113,-117.1165151,32.6909862,22.34,66.23,94.52,0.0,86.82,97.08,69.53,74.5
4916,Los Angeles,90011,-118.2439607,34.009617,53.02,92.89,94.57,0.0,33.84,74.37,70.1,76.2
6543,Los Angeles,90501,-118.3021541,33.8484731,31.84,81.66,60.81,12.92,95.02,68.61,39.42,56.7
4395,Los Angeles,91732,-118.0141173,34.0520775,64.8,81.66,87.75,62.74,66.27,64.61,42.4,63.6
2439,Los Angeles,91352,-118.3736105,34.2197648,77.87,81.66,91.35,1.11,85.36,83.12,56.09,55.4
6551,Stanislaus ,95358,-121.0374635,37.6349769,73.93,92.89,46.97,91.17,46.32,86.96,94.25,54.6
4409,Los Angeles,90059,-118.2502423,33.932376,40.49,81.66,76.48,0.0,98.13,93.67,87.08,88.1
5859,San Joaquin,95203,-121.3278662,37.9577717,60.88,94.0,61.67,30.12,90.54,98.63,90.14,57.3
3216,Los Angeles,90058,-118.2430143,33.9920544,53.02,83.99,72.18,0.0,39.08,82.86,76.66,84.8
1595,Los Angeles,91732,-118.0143495,34.0629878,64.8,69.14,87.75,0.0,91.52,76.87,58.01,78.4
6430,Stanislaus ,95350,-121.0204403,37.6627736,73.93,92.89,67.07,62.81,60.62,92.07,90.89,61.4
5559,Stanislaus ,95358,-121.0092162,37.6010166,73.93,92.89,59.74,86.67,34.77,87.23,89.33,82.2
7101,San Bernardino,92410,-117.2922119,34.1173182,98.18,81.66,91.57,0.0,66.83,96.35,98.57,84.6
3175,Fresno ,93727,-119.7092464,36.7577958,98.18,97.22,77.06,34.7,37.22,82.37,80.64,57.2
3848,Los Angeles,91768,-117.7658059,34.0617068,82.1,83.99,77.16,0.0,57.48,83.29,63.65,74.3
5050,Los Angeles,91605,-118.3832842,34.20361,77.87,81.66,66.4,4.19,66.05,79.47,89.2,57.4
5516,Los Angeles,90280,-118.1850472,33.9427497,40.49,81.66,57.2,13.68,71.04,51.3,87.83,42.3
3411,Los Angeles,90031,-118.2202429,34.0678503,53.02,92.89,97.82,0.0,93.96,49.38,23.04,66.4
4019,Fresno ,93654,-119.4974354,36.5995048,98.18,97.73,26.57,96.78,5.87,90.23,91.07,69.1
3852,Kern ,93307,-118.9985321,35.3604075,98.18,99.86,77.44,0.0,51.6,89.19,87.52,71.6
4113,Los Angeles,90016,-118.368517,34.02931,53.02,81.66,74.5,27.32,91.8,86.92,57.57,54.6
7540,Los Angeles,90013,-118.2432134,34.0411108,53.02,92.89,97.76,0.0,45.85,89.56,13.22,94.9
2945,Los Angeles,91606,-118.3748665,34.1937075,77.87,81.66,93.37,0.0,70.9,70.39,84.49,64.6
2279,San Joaquin,95205,-121.2731105,37.9483459,53.02,94.2,65.99,21.81,45.54,89.68,90.64,80.6
6922,Riverside ,92501,-117.3664576,34.0057669,98.18,92.89,91.16,0.0,87.23,93.29,87.71,44.9
5076,San Bernardino,92324,-117.3600222,34.0382751,98.18,92.89,67.04,7.38,83.03,63.06,63.65,54.9
4994,Los Angeles,90061,-118.2717325,33.9194635,40.49,81.66,81.59,0.0,88.57,86.11,76.05,58.5
3319,Los Angeles,90255,-118.2333907,33.9846156,53.02,81.66,72.18,0.0,57.21,68.0,82.73,77.0
7478,Kern ,93307,-118.9490692,35.3238825,98.18,100.0,24.63,82.79,34.64,89.19,87.52,62.8
3639,Riverside ,92553,-117.2825158,33.9293086,98.18,92.89,80.27,0.0,83.32,66.6,59.39,74.2
6139,San Bernardino,92335,-117.5103022,34.0737522,98.18,93.64,86.53,0.0,71.53,81.56,92.98,56.0
3372,Los Angeles,90001,-118.2630441,33.9693296,53.02,81.66,79.39,0.0,66.73,77.72,77.35,67.1
6852,Fresno ,93722,-119.8542854,36.7785171,91.1,97.22,89.88,54.22,72.94,88.79,80.64,77.3
4750,Los Angeles,90723,-118.1692228,33.9046634,40.49,81.66,79.61,0.0,85.4,56.59,71.56,47.9
4085,Los Angeles,91766,-117.7322415,34.0483608,82.1,92.89,69.42,1.63,28.91,78.94,76.95,68.5
4615,Fresno ,93706,-119.8121471,36.65561,98.18,97.22,24.79,92.9,11.03,94.63,89.25,42.9
4576,San Bernardino,91761,-117.6422818,34.0482829,91.1,92.89,84.69,49.55,20.89,46.22,87.05,68.1
4636,Los Angeles,90201,-118.1852919,33.9599735,53.02,81.66,58.28,15.86,47.17,53.9,75.41,61.1
3386,Los Angeles,90012,-118.2415978,34.046994,53.02,92.89,97.97,0.0,43.13,76.62,5.87,72.2
2568,Los Angeles,91731,-118.0467069,34.0769216,64.8,66.23,63.42,29.19,85.96,61.21,69.26,61.8
4375,Los Angeles,90304,-118.3638538,33.9348001,40.49,81.66,92.58,52.29,96.67,77.55,83.69,51.3
3343,Los Angeles,90011,-118.2695618,33.9922359,53.02,92.89,79.39,0.0,59.12,72.82,70.19,86.6
4683,Los Angeles,90301,-118.3700611,33.9590575,53.02,81.66,92.58,0.0,94.82,88.03,87.05,53.7
3313,Los Angeles,90003,-118.2749023,33.9694507,53.02,81.66,79.39,0.0,99.85,91.35,93.57,83.1
5818,Los Angeles,91406,-118.4782103,34.2102531,82.1,54.48,87.43,0.0,95.74,81.54,77.87,70.2
4895,Los Angeles,91204,-118.261783,34.1403264,69.23,81.66,75.79,0.0,60.31,80.41,78.62,48.5
5575,Los Angeles,90058,-118.2432565,33.9992469,53.02,92.89,84.46,0.0,31.11,73.49,63.43,74.7
8618,San Bernardino,92405,-117.2905586,34.124986,98.18,81.66,88.11,0.0,64.48,95.08,92.79,82.1
2822,Los Angeles,90001,-118.2391487,33.9774904,53.02,81.66,72.18,0.0,64.86,84.58,90.45,57.9
6759,Los Angeles,90220,-118.2539533,33.881033,31.84,81.66,88.18,18.84,71.75,89.39,77.21,35.5
2446,Los Angeles,90813,-118.2014531,33.7796381,31.84,66.23,99.88,46.19,44.75,95.3,82.93,84.3
8384,San Joaquin,95205,-121.2764321,37.9805494,53.02,94.09,52.74,67.31,29.31,87.82,87.87,63.3
6681,Los Angeles,90001,-118.2520343,33.9790503,53.02,81.66,74.9,0.0,69.67,84.58,90.45,81.2
3378,Kern ,93307,-118.975107,35.3597374,98.18,100.0,77.62,0.0,43.59,89.19,87.52,72.0
3582,Los Angeles,90248,-118.2871419,33.9024424,40.49,81.66,81.59,0.0,97.08,75.07,59.49,40.7
4176,Los Angeles,90723,-118.1780909,33.9049478,40.49,81.66,80.11,0.0,94.9,71.08,86.06,61.6
7306,Los Angeles,90001,-118.2488118,33.9644276,53.02,81.66,74.79,0.0,65.36,81.1,85.85,64.8
5821,Fresno ,93702,-119.7634304,36.7468175,98.18,97.22,94.79,0.0,22.41,96.26,99.36,75.4
4793,San Bernardino,91764,-117.6247116,34.0745733,91.1,92.89,93.5,33.21,99.3,84.75,90.26,51.1
2196,Stanislaus ,95354,-120.9935916,37.6392879,73.93,92.89,76.89,62.57,24.01,88.06,90.95,62.8
5820,Los Angeles,90002,-118.2508919,33.9512593,40.49,81.66,76.15,0.0,62.6,88.88,91.68,74.7
2607,Los Angeles,90033,-118.2077883,34.0588723,53.02,92.89,95.52,0.0,97.23,91.7,77.43,56.6
3178,Los Angeles,91706,-117.9903099,34.0641759,69.23,69.14,79.48,53.19,99.27,65.83,73.02,63.5
6554,Los Angeles,90002,-118.2391843,33.9486636,40.49,81.66,76.48,0.0,38.28,88.88,91.68,70.0
3493,Los Angeles,90280,-118.2236211,33.9564949,40.49,81.66,76.48,0.0,67.24,51.3,87.83,49.5
5701,Fresno ,93725,-119.729139,36.6164728,98.18,97.49,41.84,93.07,38.55,85.16,80.99,48.9
6415,Los Angeles,90805,-118.1785185,33.8794113,31.84,81.66,83.43,72.61,94.0,72.17,52.94,44.8
6207,Los Angeles,90221,-118.2118964,33.9078664,40.49,81.66,67.48,0.0,50.58,85.14,90.52,77.5
6251,Los Angeles,90001,-118.2361363,33.9615844,40.49,81.66,75.21,0.0,67.0,79.78,82.0,69.5
4687,Los Angeles,91605,-118.4060882,34.1965389,77.87,81.66,66.4,0.0,93.75,64.54,74.43,58.4
3164,Los Angeles,90280,-118.1690175,33.9431242,40.49,81.66,53.84,10.73,92.14,38.15,65.81,36.4
4388,Los Angeles,90047,-118.3100903,33.9863341,53.02,81.66,49.15,0.0,69.42,98.03,81.91,47.1
6414,Riverside ,92507,-117.367719,33.9711717,98.18,83.99,77.86,0.0,88.65,70.94,64.59,59.7
4284,Los Angeles,90220,-118.2253101,33.8940909,40.49,81.66,68.26,0.0,43.75,94.9,92.36,60.7
3573,Los Angeles,91405,-118.4357986,34.2051758,77.87,66.23,55.23,0.0,82.96,92.58,95.16,54.3
5205,Fresno ,93703,-119.7453702,36.7577993,98.18,97.22,90.85,0.0,58.42,92.93,90.13,80.2
5593,Los Angeles,91732,-118.0200912,34.0587041,64.8,81.66,87.75,0.0,58.9,72.73,51.25,70.9
6178,San Bernardino,92316,-117.3863212,34.043922,98.18,93.64,50.88,41.0,29.99,53.97,63.43,52.3
3749,Los Angeles,91205,-118.253081,34.1273036,64.8,81.66,75.79,0.0,55.8,62.26,84.54,65.5
3977,San Joaquin,95205,-121.2449753,37.954985,53.02,94.2,50.94,65.58,79.63,85.4,84.49,68.5
4076,Los Angeles,90039,-118.2703438,34.1366071,69.23,83.99,75.67,0.0,97.73,70.05,64.31,40.8
3716,Riverside ,92509,-117.3999055,33.9997288,98.18,92.89,60.76,0.0,84.67,64.08,90.13,67.3
5655,Los Angeles,90003,-118.275663,33.9469248,40.49,81.66,75.51,0.0,99.17,91.35,93.57,76.0
5257,San Bernardino,92407,-117.3464052,34.1524361,100.0,83.99,66.93,0.0,68.49,86.73,83.42,73.4
4118,Los Angeles,90250,-118.3338741,33.9178467,40.49,81.66,72.25,51.14,93.56,80.79,74.21,45.9
2406,Merced ,95348,-120.5116548,37.3162975,82.1,92.89,69.56,73.96,57.35,90.92,96.48,67.7
4796,Stanislaus ,95380,-120.883606,37.4647928,82.1,92.89,32.87,94.22,57.45,86.54,96.85,44.9
2219,San Joaquin,95206,-121.2839329,37.9162284,60.88,81.66,70.12,0.0,72.64,97.41,97.24,71.0
3444,Los Angeles,90003,-118.2717384,33.9785676,53.02,81.66,79.39,0.0,73.71,91.35,93.57,65.4
3016,Los Angeles,90222,-118.2265977,33.9058075,40.49,81.66,57.83,0.0,42.12,92.73,87.05,66.5
2833,Los Angeles,91352,-118.3705556,34.2142143,77.87,81.66,93.3,0.83,66.21,83.12,56.09,48.1
3310,Los Angeles,90016,-118.3547601,34.029939,53.02,81.66,74.5,0.0,96.92,92.92,74.21,66.7
2983,Los Angeles,90222,-118.2207001,33.913976,40.49,81.66,57.83,0.0,53.82,76.9,65.19,74.9
3996,Los Angeles,91768,-117.7559076,34.0671263,82.1,92.89,81.36,0.0,89.48,77.55,50.55,69.0
4579,Riverside ,92507,-117.3422164,33.9951231,98.18,92.89,92.72,47.2,84.27,59.48,46.96,63.2
6197,Los Angeles,91733,-118.0364142,34.0494754,60.88,81.66,68.25,7.13,50.65,60.19,57.27,73.3
3963,Los Angeles,90304,-118.3635823,33.9400821,40.49,81.66,92.58,53.5,97.43,77.55,83.69,70.5
3741,Los Angeles,91605,-118.4020625,34.2121219,77.87,81.66,66.4,12.95,91.19,84.25,94.95,38.5
3833,Los Angeles,90810,-118.2215755,33.8219958,31.84,66.23,79.65,58.59,92.02,79.94,69.52,46.6
4972,Los Angeles,90023,-118.2124515,34.0309821,53.02,92.89,94.69,0.0,96.9,66.51,57.82,58.4
1860,Los Angeles,90280,-118.2252846,33.9476557,40.49,81.66,76.48,0.0,70.23,51.3,87.83,76.9
2879,Los Angeles,90001,-118.2631029,33.9783876,53.02,81.66,79.39,0.0,77.27,49.46,31.32,72.7
4959,Fresno ,93703,-119.7810169,36.758343,98.18,97.22,96.45,0.0,72.68,96.02,70.1,80.2
5003,Stanislaus ,95367,-120.9283662,37.7231477,73.93,92.89,46.68,58.9,12.65,54.54,75.07,59.6
5446,Los Angeles,91605,-118.4183782,34.2147689,77.87,69.14,65.38,2.46,94.49,79.09,87.05,39.1
2295,Los Angeles,90201,-118.16579,33.9718406,53.02,81.66,73.45,72.82,92.03,53.9,75.41,71.1
6519,San Joaquin,95206,-121.2968776,37.9058022,60.88,69.14,33.62,79.12,80.49,90.9,82.73,39.5
3819,Los Angeles,90044,-118.3001717,33.927402,40.49,81.66,75.1,0.0,96.84,95.65,88.31,67.2
7036,Stanislaus ,95358,-120.9844811,37.5947739,73.93,92.89,52.66,67.42,54.84,59.08,77.21,48.0
1749,San Joaquin,95206,-121.4581872,37.9269308,53.02,66.23,13.59,91.24,4.76,84.75,72.27,56.2
9109,Fresno ,93725,-119.7181677,36.711099,98.18,97.22,75.11,89.37,13.54,81.32,78.31,50.5
2806,Sacramento ,95814,-121.5016595,38.5818714,53.02,40.92,72.68,0.0,70.46,94.84,93.99,82.1
7020,San Bernardino,91730,-117.5668167,34.0907982,98.18,92.89,95.06,0.0,63.58,56.25,89.49,40.3
4464,Los Angeles,90040,-118.1463431,34.0003294,53.02,81.66,86.73,21.75,85.55,64.26,75.48,33.2
4580,Los Angeles,91352,-118.3745717,34.2027436,77.87,81.66,92.63,0.21,68.15,80.75,52.04,63.0
3019,Los Angeles,90731,-118.2839528,33.7476138,31.84,66.23,96.04,0.0,53.28,87.56,71.46,64.3
2030,Los Angeles,91606,-118.3834122,34.1884919,77.87,81.66,67.23,0.0,75.99,79.13,93.12,64.2
6590,San Bernardino,92405,-117.2908999,34.1322998,100.0,81.66,88.11,0.0,61.47,96.16,94.99,71.2
2397,Los Angeles,91331,-118.4005905,34.2552325,77.87,69.14,70.95,0.0,52.66,81.04,46.38,75.1
3996,Los Angeles,90003,-118.2773062,33.9785291,53.02,81.66,79.39,0.0,99.7,91.35,93.57,75.0
5167,Los Angeles,90813,-118.197207,33.778962,31.84,66.23,99.85,47.89,39.79,96.73,88.16,76.4
3209,Los Angeles,90746,-118.2728118,33.8751813,31.84,81.66,80.51,65.75,58.12,79.1,46.18,35.9
5498,Los Angeles,90011,-118.2706778,33.9979135,53.02,92.89,79.39,0.0,61.01,73.07,70.78,87.3
7910,Los Angeles,90249,-118.3195843,33.9112721,40.49,81.66,71.75,51.42,58.95,88.07,77.62,36.6
3496,Los Angeles,90805,-118.1986552,33.8685443,31.84,81.66,83.43,0.0,96.99,85.15,73.79,43.3
2433,Los Angeles,90015,-118.2658977,34.0367637,53.02,92.89,94.9,0.0,96.82,84.17,56.5,84.1
2923,San Bernardino,91762,-117.6510112,34.0667963,91.1,92.89,91.5,37.57,31.83,63.67,74.77,46.6
6613,Kings ,93230,-119.6308433,36.3080545,91.1,98.6,43.4,75.42,9.39,98.19,68.68,73.2
4219,Los Angeles,90744,-118.2479267,33.7874696,31.84,66.23,91.0,0.0,65.16,78.81,78.89,56.6
3265,Los Angeles,90744,-118.2774453,33.7748702,31.84,66.23,95.91,0.0,75.66,78.81,78.89,72.5
4052,San Bernardino,91764,-117.6409852,34.0672615,91.1,92.89,91.5,17.45,54.07,82.57,88.27,51.3
3707,Los Angeles,90744,-118.267011,33.7729434,31.84,66.23,95.91,0.0,24.33,78.81,78.89,69.2
2589,Stanislaus ,95351,-121.0071046,37.6373175,73.93,92.89,76.89,0.0,55.56,91.24,98.27,79.8
4803,Stanislaus ,95351,-121.0159498,37.6296152,73.93,92.89,50.14,0.0,54.42,92.15,99.02,64.2
3981,San Bernardino,92410,-117.2844304,34.1092386,98.18,81.66,92.1,0.0,15.25,98.43,99.93,88.3
3321,Los Angeles,90220,-118.2607508,33.8984704,40.49,81.66,78.48,28.43,38.75,91.93,84.45,52.4
4165,Los Angeles,90201,-118.1704919,33.9722323,53.02,81.66,70.5,63.78,98.01,53.9,75.41,60.7
