Total Population,California County,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty
7119,Riverside ,95.51,62.08,8.86,43.57,7.47,55.92,45.4805492
4223,San Bernardino,96.61,91.57,73.15,0.0,14.43,92.44,56.58486708
4016,Tulare ,91.74,97.68,73.52,39.02,33.3,55.89,27.80487805
5581,Tulare ,93.3,76.99,17.48,91.0,9.7,55.11,50.0635324
4916,Santa Clara,12.66,38.49,77.85,0.0,81.68,65.52,47.0260223
2109,Riverside ,98.31,11.3,49.71,0.0,74.87,65.96,62.09150327
4673,San Diego,38.1,60.36,49.82,0.0,51.83,76.51,63.51450158
3568,Sacramento ,57.71,45.19,41.34,0.0,41.85,92.39,54.0604825
2728,Los Angeles,21.82,83.95,37.21,0.0,44.26,95.67,52.06164098
5363,Los Angeles,63.78,70.27,95.88,0.0,30.4,12.47,36.99543031
2939,Los Angeles,67.75,63.9,60.82,0.0,70.94,75.51,54.72016183
6129,Merced ,71.65,63.46,33.74,96.65,6.96,73.44,62.00588043
3264,Los Angeles,58.83,77.77,29.34,0.0,35.06,68.45,58.77527102
3467,Contra Costa,31.8,27.91,48.49,0.0,80.94,99.4,56.31421942
4101,Orange ,49.53,72.9,88.95,0.0,86.37,50.07,33.73493976
3847,Fresno ,90.36,93.86,78.33,87.28,47.16,83.45,20.29475719
4822,Los Angeles,63.58,65.04,93.5,0.0,46.61,39.5,66.66666667
6611,Los Angeles,0.0,70.75,88.31,0.0,32.68,77.55,24.50966558
5208,Fresno ,91.64,96.29,95.02,0.0,68.73,90.58,57.74866402
8153,Fresno ,79.4,96.58,28.57,79.97,1.38,78.47,35.22541756
5412,Los Angeles,79.38,57.05,56.97,0.0,75.24,80.02,56.48984199
2145,Alameda ,0.0,22.46,77.11,0.0,85.34,90.38,56.54867257
4887,San Bernardino,97.35,91.08,32.91,0.0,43.52,87.7,34.47288006
7708,San Diego,22.79,35.5,47.6,38.63,79.49,12.86,57.03770661
5783,Los Angeles,0.0,71.9,84.91,66.69,98.08,35.96,21.81460272
3543,Kern ,78.18,98.12,48.06,78.45,22.25,39.17,64.74538332
4355,Kern ,87.61,99.02,86.83,0.0,42.32,65.46,42.92013719
5474,Kern ,91.26,59.45,6.06,83.69,62.57,46.03,22.77700724
4413,San Bernardino,89.76,96.0,94.98,0.0,96.77,53.66,21.34065934
4852,Butte ,47.63,21.94,6.95,73.76,4.88,94.45,46.9843314
3899,Stanislaus ,59.61,49.55,79.21,0.0,48.95,80.52,51.59530952
6290,Sacramento ,59.28,39.14,57.0,0.0,77.51,84.62,54.63917526
3963,Los Angeles,48.12,88.92,56.53,35.1,49.79,54.01,26.61331957
4389,Contra Costa,0.0,17.46,79.67,0.0,26.28,98.28,59.48836234
3861,Stanislaus ,60.43,50.78,38.78,0.0,8.74,85.78,74.10110841
6494,Los Angeles,73.17,61.56,39.18,0.0,54.31,70.94,56.49456926
5749,Orange ,13.19,60.27,83.97,14.05,80.62,36.47,51.99667221
3434,Kern ,80.58,99.92,99.04,0.0,76.82,88.09,40.41225929
4856,Los Angeles,33.87,85.17,94.55,0.0,97.29,54.55,84.66864491
3493,San Bernardino,59.31,8.91,52.74,0.0,26.21,99.6,74.91278148
6033,Orange ,25.33,69.26,83.27,63.33,87.3,57.74,27.1303375
3329,Riverside ,88.91,94.12,68.09,0.0,11.63,36.9,44.58995946
2471,Los Angeles,54.0,77.62,95.9,0.0,32.92,56.13,45.1767787
2956,Butte ,39.46,23.84,23.24,89.8,13.66,42.78,51.61616162
5519,San Bernardino,99.71,60.25,45.59,0.0,64.7,67.78,48.40116279
6937,Imperial ,34.3,63.87,19.54,0.0,45.38,64.8,83.0722726
4758,Los Angeles,48.97,74.95,87.18,0.0,90.5,31.41,56.1917746
7381,Fresno ,82.15,97.53,53.27,86.62,36.97,82.82,17.71809948
7809,Los Angeles,35.05,83.46,91.86,0.0,87.0,46.36,25.18141311
6755,Alameda ,0.0,27.87,92.48,27.5,69.13,95.12,23.03842428
6815,Riverside ,96.72,12.37,24.69,66.06,20.41,59.41,39.66342666
6299,Monterey ,0.0,1.98,9.29,98.04,35.65,60.4,48.06248123
5338,San Bernardino,99.57,66.79,25.13,0.0,78.3,81.88,40.56930693
7810,Los Angeles,62.68,71.2,89.32,0.0,87.39,19.82,33.14706283
3005,Los Angeles,68.68,63.81,68.99,7.67,89.86,74.04,22.48012719
2822,Ventura ,60.04,33.09,8.48,88.77,19.8,10.28,57.19740359
4303,Riverside ,87.45,90.8,28.2,0.0,25.13,43.2,54.43392165
3120,Santa Clara,14.94,39.39,86.11,0.0,49.38,59.29,57.88096795
5049,Riverside ,89.88,45.51,40.35,0.0,71.31,43.69,55.39315449
3972,Orange ,52.71,84.64,42.14,0.0,66.75,36.8,47.62273902
3847,Los Angeles,66.98,55.51,28.93,0.0,65.15,41.84,75.56680608
8090,Orange ,1.65,49.81,49.27,0.0,72.27,39.23,61.92111809
4821,Riverside ,67.6,16.28,22.38,79.34,7.58,48.51,67.59716556
7976,Santa Cruz,0.0,8.86,41.95,98.97,39.83,51.28,52.04576545
4176,Kings ,76.43,98.63,58.81,72.4,25.96,93.71,19.20874545
5194,Los Angeles,40.79,80.98,99.02,0.0,69.93,24.49,32.34147342
4189,San Joaquin,53.44,41.98,70.68,36.47,27.98,95.07,33.50073237
3530,Alameda ,0.0,25.96,90.31,0.0,55.22,91.76,46.03289792
8185,Tulare ,90.35,98.04,38.39,93.19,45.93,57.66,36.1777669
5659,Los Angeles,22.1,73.63,65.07,0.0,56.63,82.89,46.15100609
4107,San Diego,46.88,46.31,50.43,59.38,97.62,56.5,33.47521282
4760,Santa Clara,13.63,38.33,63.41,0.0,75.43,61.44,64.86332574
2572,Merced ,69.43,65.52,10.72,80.77,10.33,32.09,46.98424894
3744,Riverside ,72.96,12.46,77.16,0.0,31.68,55.07,66.57336132
5537,Orange ,25.19,66.78,31.31,45.0,48.91,66.88,51.52013147
4074,Los Angeles,34.51,81.0,87.89,0.0,60.7,60.92,63.49206349
3848,Los Angeles,54.1,80.75,58.15,0.0,79.13,45.02,49.375
4887,Santa Clara,9.64,37.51,78.33,0.0,90.58,43.52,53.92976589
5033,Los Angeles,0.0,63.27,74.7,0.0,33.68,95.71,66.7090216
3249,Sutter ,38.61,11.67,60.55,0.0,48.5,69.38,73.06791569
5337,Orange ,21.27,64.98,60.06,0.0,53.77,65.15,43.01236418
5450,Los Angeles,68.21,92.04,76.05,0.0,65.62,56.8,47.840729
10095,Stanislaus ,59.69,48.58,32.69,92.99,17.45,59.46,26.08120869
10413,Orange ,37.94,68.52,69.89,0.0,37.38,49.77,58.30171264
16787,San Joaquin,51.11,39.87,47.6,79.67,73.98,65.16,21.66704649
5143,Orange ,20.82,59.34,51.06,0.0,90.82,29.56,42.40127643
5268,San Joaquin,55.06,45.92,51.76,91.9,14.56,54.11,32.3777403
4582,San Francisco,0.0,18.04,92.03,0.0,21.38,95.3,36.51480638
2620,Sacramento ,57.57,47.17,40.33,0.0,48.78,89.05,43.95017794
4579,Los Angeles,0.0,66.55,75.65,0.0,82.92,43.26,42.48934988
3974,Los Angeles,69.6,71.92,91.0,0.0,35.08,57.65,56.68496158
3664,Los Angeles,33.15,84.73,94.02,0.0,55.21,54.55,75.24417731
2163,Alameda ,0.0,20.47,98.1,0.0,54.21,99.8,54.94778717
7081,Orange ,32.62,58.76,84.74,0.0,99.41,35.71,43.76321353
4218,Los Angeles,56.53,85.01,76.98,0.0,64.77,17.63,41.93708199
4114,Los Angeles,59.88,77.01,29.58,0.0,43.12,68.45,43.69670431
5881,Los Angeles,80.07,90.9,77.6,0.0,62.32,51.6,22.15707178
4098,Los Angeles,60.76,82.75,77.09,0.0,63.83,17.82,43.49691606
4730,San Bernardino,93.08,95.81,92.46,0.0,80.64,75.07,35.05627345
8393,Riverside ,97.95,40.12,38.18,0.0,14.54,58.41,59.87453251
5119,Los Angeles,0.0,63.76,89.48,10.06,71.9,84.48,55.38876059
2355,Los Angeles,0.46,79.33,64.01,59.65,78.97,86.07,23.9120262
5651,Orange ,45.85,69.88,83.85,0.0,90.3,48.61,44.50549451
6310,Stanislaus ,64.73,50.23,23.74,89.97,9.36,44.54,43.55254674
2725,Santa Clara,14.27,40.53,77.93,0.0,91.48,44.23,38.99745115
4009,Fresno ,88.43,96.83,94.27,0.0,43.67,90.22,37.26437893
5598,Riverside ,94.26,88.47,67.68,0.0,66.37,68.65,43.62457549
6578,Orange ,42.9,69.36,77.95,0.0,53.65,49.53,48.61235452
6947,Los Angeles,50.18,87.8,87.63,0.0,33.07,29.42,29.23741436
4358,Los Angeles,32.43,80.83,87.45,0.0,72.32,66.51,50.42054006
4958,Los Angeles,26.63,84.72,71.69,0.0,41.65,41.14,40.50991501
7060,San Bernardino,89.55,95.64,61.3,29.56,23.14,54.02,30.0990099
4819,San Diego,25.03,37.87,51.15,37.53,82.49,10.58,71.80489813
3524,Los Angeles,60.01,68.13,76.5,6.11,81.41,46.28,44.61661769
3389,Los Angeles,40.51,80.34,88.7,0.0,32.47,25.8,60.47029703
5103,Los Angeles,0.0,68.08,52.15,73.17,70.72,14.83,13.81954
5701,Riverside ,97.97,6.04,66.65,0.0,66.6,89.78,65.17941902
4351,Los Angeles,75.32,57.38,37.92,0.0,34.83,68.32,64.82978202
3442,Los Angeles,54.23,81.84,36.0,0.0,41.84,62.8,55.55225653
3655,Riverside ,86.48,92.11,28.13,13.12,23.25,42.57,51.60780179
4052,San Bernardino,93.18,96.01,95.32,35.8,92.12,52.05,20.26825633
2370,Los Angeles,22.81,81.73,70.47,0.0,54.8,53.29,62.25402504
5216,San Francisco,0.0,17.42,91.97,0.0,95.63,94.41,49.75095785
4107,Los Angeles,67.83,87.68,70.88,0.0,36.26,31.37,33.03188958
5221,San Bernardino,84.0,40.82,38.64,0.0,34.0,84.06,64.57510908
2548,Monterey ,0.0,2.47,31.81,46.99,35.77,90.3,81.95962994
8725,Orange ,22.47,66.7,30.69,0.0,56.97,62.23,52.11805114
3464,Los Angeles,56.15,79.15,36.08,0.0,88.51,68.45,61.24115406
3991,Los Angeles,0.0,64.85,78.17,0.0,26.04,56.99,73.39977852
6216,Stanislaus ,58.65,49.21,71.46,97.97,40.84,78.46,26.56917516
5506,Riverside ,94.57,12.19,17.93,68.52,37.56,71.16,57.97562268
3755,Los Angeles,41.15,87.34,83.14,41.28,68.5,64.72,34.64070214
4115,San Diego,5.95,54.25,91.27,0.0,27.67,86.68,72.60609358
3700,San Joaquin,42.74,44.36,47.17,0.0,65.41,78.17,61.16573034
2656,Los Angeles,44.01,81.21,99.02,0.0,40.35,45.38,35.61381074
4108,Santa Clara,15.12,40.58,66.65,0.0,92.15,70.06,36.85923515
6947,San Bernardino,99.81,62.79,44.33,73.4,53.07,90.52,37.23790886
2783,Yuba ,46.56,9.47,6.46,89.11,9.48,73.13,39.60612691
5499,Orange ,23.24,56.05,38.03,0.0,52.01,40.44,57.19914628
1948,San Diego,6.55,53.83,91.27,0.0,85.09,87.44,60.8305275
3795,Los Angeles,37.03,79.05,58.48,0.0,64.6,62.07,43.58778626
4169,Butte ,39.06,48.25,23.14,66.82,64.34,32.99,63.61713379
4925,Kern ,84.32,99.16,92.66,0.0,19.48,89.51,38.29457364
2474,Los Angeles,40.74,80.5,98.64,0.0,62.19,31.15,57.06472197
5842,San Joaquin,43.28,44.59,37.35,0.0,54.12,76.89,57.64070681
5196,San Diego,47.04,44.94,56.53,2.62,77.04,60.21,61.99918234
4586,San Joaquin,42.96,44.54,29.17,81.63,53.04,78.17,56.00354453
3532,Los Angeles,61.52,71.58,94.24,0.0,33.49,20.58,40.54524362
3355,Los Angeles,43.52,75.52,75.3,0.0,57.66,45.27,34.02534376
9553,Sacramento ,49.98,44.95,49.57,0.0,70.21,97.23,58.96911434
4176,Los Angeles,0.0,63.62,99.86,29.23,25.26,96.3,61.69207644
2054,Sacramento ,63.21,37.44,57.59,0.0,83.29,92.57,38.22102426
3550,Merced ,71.47,64.31,73.32,84.69,13.25,79.71,59.51566952
6710,Santa Cruz,0.0,9.09,41.95,78.58,13.2,51.27,69.28150435
4214,Los Angeles,61.79,71.84,71.41,0.0,74.25,20.06,43.19384319
4186,San Diego,10.5,55.09,73.61,0.0,95.9,83.6,53.70571615
4338,Los Angeles,64.49,59.57,61.07,66.36,49.31,49.38,53.87949718
4559,San Joaquin,42.02,43.96,46.17,0.0,63.27,86.7,61.47389969
5553,Los Angeles,86.08,92.37,77.22,87.35,34.59,46.0,31.23903124
3153,Stanislaus ,60.48,50.08,87.8,0.0,36.92,78.76,44.2521228
3246,Los Angeles,70.18,91.15,49.56,0.0,48.56,51.91,10.14578994
4500,Los Angeles,64.02,66.45,74.14,0.0,85.29,55.96,42.00308846
3888,Los Angeles,17.95,83.69,37.21,0.0,38.19,95.92,51.276958
4998,San Joaquin,46.68,45.95,44.06,87.58,61.93,43.67,36.33688856
1920,Los Angeles,33.64,87.17,80.36,0.0,27.75,57.34,59.14091147
5112,Sacramento ,51.64,45.05,54.28,0.0,52.48,90.84,65.61893675
5837,Los Angeles,86.1,50.98,70.83,0.0,20.47,75.03,35.85820896
2707,Riverside ,98.34,10.3,73.73,0.0,76.35,65.96,33.11874106
5281,Kings ,72.61,97.99,44.69,79.48,4.12,64.44,38.49906191
7021,Los Angeles,78.87,85.98,64.83,28.03,77.2,45.14,27.27802887
5014,San Diego,19.19,56.21,85.22,0.0,95.6,51.59,31.7078106
6296,Los Angeles,69.81,91.55,20.94,0.0,30.86,54.38,31.99590234
3550,San Diego,39.38,60.47,68.22,0.0,62.42,76.51,73.94919169
6389,San Bernardino,87.65,95.69,66.1,85.42,21.09,50.44,18.20115466
5639,Los Angeles,36.49,85.44,90.33,0.0,93.08,47.72,21.48423006
5780,San Bernardino,97.78,90.99,63.58,0.0,27.15,65.98,17.88861473
4489,Orange ,49.83,85.16,24.56,0.0,67.0,38.97,42.07779886
7217,Orange ,24.39,59.69,44.53,0.0,77.52,29.89,40.60861969
5173,Kern ,81.67,99.76,68.78,0.0,52.1,67.68,52.28100236
5720,Los Angeles,26.39,73.24,83.18,31.92,31.94,66.21,39.69686034
2295,Sacramento ,70.66,42.85,33.04,0.0,61.51,66.58,63.24968099
5230,Los Angeles,0.0,77.45,89.23,0.0,54.07,71.36,51.74591382
3791,Los Angeles,41.67,84.89,99.41,0.0,61.69,99.76,45.961401
4919,San Diego,40.69,60.54,68.31,0.0,85.83,72.5,60.00805477
7159,Sacramento ,54.91,47.02,51.96,0.0,76.36,97.95,57.53907447
4096,Riverside ,85.15,88.04,72.46,0.0,91.01,57.5,34.47575527
3033,Los Angeles,64.33,69.47,86.67,0.0,94.14,42.0,36.56009473
4219,Sacramento ,52.21,42.96,63.18,0.0,94.74,92.47,70.53251408
3332,Orange ,49.07,67.76,62.04,69.21,91.73,27.79,43.12300087
6323,Orange ,52.96,35.52,41.96,0.0,94.7,13.25,41.08394597
6439,Los Angeles,58.94,73.53,67.22,0.0,67.88,44.12,49.1338063
1684,Los Angeles,77.19,11.61,7.54,87.98,14.42,77.71,69.96830428
4046,Los Angeles,63.56,67.8,82.71,0.0,35.99,49.32,36.12266112
3077,Tulare ,87.42,75.79,38.08,0.0,32.27,72.81,64.4039176
3933,Contra Costa,32.86,28.39,48.49,0.0,87.06,99.5,65.47039221
4669,Riverside ,97.59,56.48,23.76,0.0,26.02,83.82,62.98540965
5262,Los Angeles,18.38,84.15,37.21,0.0,36.15,98.69,50.26809651
8370,Sacramento ,50.33,34.42,38.93,0.0,85.04,95.17,47.43870151
5211,Fresno ,89.24,94.01,93.32,0.0,63.95,32.21,38.56132075
10796,Tulare ,87.95,80.6,21.96,68.78,17.84,72.81,33.70492945
9142,Kings ,60.8,,5.6,57.89,24.85,16.44,76.55860349
10762,Fresno ,84.19,96.27,66.2,0.0,32.07,71.01,43.69615563
7432,Orange ,19.26,49.82,44.44,46.3,62.37,28.24,53.57193987
4848,Orange ,39.14,69.44,69.74,0.0,85.28,50.87,47.8539823
8264,Kern ,89.2,43.42,39.0,49.78,17.7,45.74,42.8777324
5467,Madera ,68.4,85.61,66.2,0.0,6.42,93.08,80.9063893
1250,Monterey ,0.0,5.05,14.22,99.04,67.62,51.95,29.81007432
2306,Los Angeles,0.0,66.16,66.99,0.0,69.17,39.53,32.06924979
5538,Sacramento ,50.23,44.57,54.13,0.0,52.64,90.48,61.39657444
5004,Los Angeles,36.52,80.04,77.13,0.0,32.78,69.49,39.55135773
12552,San Joaquin,44.61,42.67,34.1,81.57,24.87,92.73,34.21299055
5108,Los Angeles,88.81,49.11,90.34,0.0,97.37,73.09,20.0172006
5057,Los Angeles,49.27,89.19,74.48,19.73,95.27,71.2,26.86282811
4822,Sacramento ,63.13,41.18,39.39,0.0,70.01,88.77,48.04324324
4835,Sacramento ,74.57,41.23,54.66,0.0,86.88,61.88,35.57670519
4735,San Bernardino,98.45,87.49,49.42,0.0,25.77,87.7,49.58353748
4658,Los Angeles,0.8,79.91,95.26,54.07,38.08,57.52,57.03911923
7430,Ventura ,0.0,28.08,32.47,96.41,62.75,44.51,61.01879597
2551,Los Angeles,3.44,80.65,59.78,19.3,52.7,86.25,63.74407583
4589,Los Angeles,45.95,87.02,95.71,0.0,29.41,56.74,68.13048934
5220,San Diego,34.19,60.13,49.2,0.0,71.71,76.51,59.95975855
4046,Sonoma ,0.0,4.03,55.0,61.61,78.7,89.25,55.29688726
5788,Los Angeles,0.0,67.02,53.14,70.91,60.25,36.78,40.48179678
4178,Los Angeles,0.0,66.59,62.7,0.0,69.76,39.44,50.32618826
7858,Ventura ,0.0,37.7,71.9,46.23,36.71,58.78,68.3908046
8182,Orange ,9.27,55.22,54.76,56.23,88.71,36.04,33.54657114
6092,Los Angeles,0.0,63.2,74.93,0.0,36.73,84.48,63.93112292
9053,Orange ,20.23,54.18,52.84,0.0,68.85,26.62,44.69988675
3810,Fresno ,89.5,96.39,81.97,0.0,55.91,85.36,26.53876898
3523,San Diego,17.6,58.67,52.53,0.0,92.9,79.19,66.27092846
3003,Ventura ,2.89,35.1,49.32,99.97,78.84,49.16,57.05860671
3636,Los Angeles,75.07,60.89,59.58,0.0,92.14,81.44,70.69301419
5025,Riverside ,97.43,31.8,28.49,64.43,43.53,43.18,54.96043822
4517,Orange ,45.2,66.06,68.74,42.41,61.64,26.78,23.80838894
4072,Los Angeles,0.0,76.62,67.14,0.0,50.92,71.36,56.74442191
4561,Los Angeles,16.91,67.07,45.75,0.0,43.17,80.65,51.44094933
3235,Los Angeles,54.28,75.34,90.46,0.0,85.23,54.22,37.21704394
5928,Los Angeles,0.0,70.14,77.46,0.0,60.56,47.31,27.76466622
3585,Santa Clara,14.61,37.75,63.3,51.18,74.42,33.5,62.52431907
6264,San Diego,9.59,56.22,77.52,0.0,97.38,81.98,50.00883236
4917,Kern ,73.49,98.8,26.49,64.4,3.22,17.06,41.21563574
321,Ventura ,0.0,33.7,35.02,91.8,86.14,49.23,57.69230769
4912,Sacramento ,63.42,36.49,55.43,0.0,83.76,92.63,51.85256658
7455,Sacramento ,52.69,37.64,49.55,0.0,20.77,97.57,65.99806336
1601,Kern ,84.72,27.95,5.23,60.08,40.39,50.89,57.54428833
4169,San Bernardino,97.28,91.96,49.38,0.0,25.31,70.24,41.91017316
5922,Orange ,12.87,52.09,73.41,31.95,67.53,17.66,30.60091961
4269,Los Angeles,53.51,89.04,71.07,37.23,88.9,28.66,22.8960396
3753,San Mateo,0.0,18.39,68.19,1.2,83.19,79.78,21.43767525
4185,Riverside ,87.73,92.36,27.69,14.15,21.39,44.17,41.40646212
3797,Orange ,30.85,57.52,84.74,0.0,99.53,37.67,52.98192771
4999,Orange ,48.04,67.99,62.08,31.98,53.72,30.05,22.00444534
2603,Los Angeles,46.04,79.38,89.68,0.0,51.37,45.38,39.37308869
5207,Los Angeles,8.28,78.42,80.03,0.0,32.84,45.89,54.84435798
5778,Stanislaus ,59.13,49.51,82.61,93.59,41.32,80.55,24.72578546
8286,Orange ,24.63,54.22,41.88,0.0,50.49,34.9,53.41039139
1731,Los Angeles,69.27,65.28,78.02,0.0,91.03,61.33,34.57645178
5290,Orange ,19.23,55.39,50.87,0.0,73.43,23.77,63.52941176
5045,Los Angeles,71.34,62.51,57.09,0.0,23.55,81.1,29.21686747
6621,Sacramento ,50.9,45.64,28.13,71.74,81.0,97.85,48.32800233
5024,Los Angeles,19.77,83.74,37.21,0.0,45.55,95.68,39.28782215
4159,Los Angeles,68.93,92.02,79.25,0.0,63.07,40.25,25.61586639
1654,Los Angeles,67.92,73.64,91.0,0.0,89.81,63.39,37.1257485
2091,Los Angeles,54.15,78.47,96.32,0.0,5.24,56.13,30.22540984
5593,Riverside ,88.97,32.06,20.05,0.0,38.27,44.88,62.1253406
4761,Riverside ,96.1,75.24,97.63,0.0,49.73,71.44,59.74651458
3954,Alameda ,0.0,23.2,82.92,0.0,46.15,94.35,57.92604086
2288,Los Angeles,52.47,84.63,77.6,0.0,31.63,62.74,41.60728424
4101,Los Angeles,0.0,63.47,99.85,0.0,30.36,96.94,66.35300102
7444,Orange ,19.75,49.09,61.42,40.22,64.38,28.98,23.80701985
6637,Sacramento ,53.36,35.86,49.52,0.0,67.38,95.43,58.90160942
2235,Los Angeles,80.05,15.75,44.57,0.0,71.87,83.51,77.66907699
7749,San Bernardino,99.84,67.71,39.74,0.0,20.36,96.31,37.09505541
4410,Monterey ,0.0,2.03,34.72,98.84,52.09,88.86,27.53112521
3142,Los Angeles,0.0,68.61,91.68,48.85,97.02,74.4,17.59581882
6071,Sutter ,38.53,11.46,58.48,73.53,13.33,69.38,60.06026113
4958,San Bernardino,97.6,80.99,68.58,0.0,5.97,76.99,46.93836579
3802,Los Angeles,58.91,85.3,76.85,0.0,41.49,17.82,34.42408377
7523,Tehama ,15.31,38.47,16.52,77.08,26.64,85.95,55.17007725
3703,Orange ,32.57,55.55,84.81,0.0,99.81,21.29,59.37832094
5867,Los Angeles,26.61,73.45,78.29,29.46,81.48,47.95,38.65030675
2698,Los Angeles,22.98,83.9,38.75,0.0,52.43,96.26,50.51020408
3149,Los Angeles,68.31,90.85,52.09,9.13,28.44,40.09,20.55964654
6658,San Bernardino,92.97,95.09,47.6,0.0,46.26,79.54,48.21402105
5863,Los Angeles,0.0,76.54,89.17,47.69,54.42,71.36,46.32860778
4686,Los Angeles,57.9,84.01,77.09,0.0,52.23,17.69,42.60709351
5853,Los Angeles,0.0,73.58,84.95,0.0,49.06,37.87,25.17875383
5259,Los Angeles,70.08,72.07,91.0,0.0,43.62,53.05,46.12374208
2043,Riverside ,4.97,,3.64,52.51,22.43,88.46,62.24398931
6182,Sutter ,38.07,11.68,36.39,88.74,20.17,23.3,51.03727968
3069,Los Angeles,66.31,61.23,73.67,88.81,53.91,61.66,29.36439459
2913,Los Angeles,89.18,93.19,61.06,59.45,22.84,27.95,29.28213689
5718,San Joaquin,46.4,46.25,54.36,11.62,25.53,43.67,48.79165141
5498,Los Angeles,25.25,82.85,78.84,0.0,43.64,40.69,38.01113457
5015,Sacramento ,51.4,44.15,57.51,0.0,60.45,90.02,66.66666667
2328,Merced ,70.05,55.87,5.73,85.39,0.65,88.15,35.86206897
5764,San Mateo,0.0,27.23,45.7,0.0,83.65,76.75,53.50844967
1257,San Bernardino,59.15,,52.53,0.0,37.23,99.6,56.28594906
6585,Stanislaus ,60.36,49.41,62.57,0.0,50.08,70.28,42.50238777
4930,Stanislaus ,56.91,48.73,61.26,96.31,78.08,45.54,33.76219133
4141,San Bernardino,96.8,91.53,46.97,0.0,11.73,89.6,40.60455673
6246,Contra Costa,0.0,17.8,52.22,26.7,87.81,91.95,60.02270516
3768,Los Angeles,65.99,64.05,60.82,0.0,20.07,74.42,42.84346577
4283,San Diego,8.71,55.72,79.87,0.0,98.47,85.92,59.99020568
1673,San Bernardino,99.94,57.4,4.49,49.32,14.51,83.5,33.43502135
2154,Los Angeles,5.75,81.71,93.69,0.0,48.63,85.34,52.43445693
4995,Los Angeles,61.91,66.39,76.3,0.0,50.69,42.46,45.194851
4058,Orange ,4.79,60.94,96.04,84.49,56.59,15.72,41.58031088
3660,San Francisco,0.0,17.93,86.73,0.0,16.5,95.3,51.2744835
4324,Los Angeles,74.7,80.25,55.89,0.0,91.95,41.91,33.7254902
7144,Los Angeles,83.09,53.47,76.8,0.0,55.53,73.01,37.08344809
3858,San Diego,10.0,52.69,23.93,0.0,88.32,59.11,58.49113315
5531,Los Angeles,70.59,62.63,60.6,0.0,34.39,81.65,40.61485909
7089,San Bernardino,94.09,94.39,58.99,0.0,23.54,44.98,40.48477853
1482,Sacramento ,64.15,44.78,52.53,0.0,98.44,63.78,74.6440678
5717,San Bernardino,99.63,70.42,55.45,0.0,23.66,94.56,36.90557065
4854,Los Angeles,78.49,91.2,66.99,0.0,65.36,47.71,29.64155398
7505,Merced ,57.89,50.58,13.48,73.93,1.07,86.79,75.30578087
3961,San Diego,8.87,54.42,75.4,0.0,69.49,84.68,65.88173731
4307,San Francisco,0.0,16.65,99.17,0.0,29.85,39.2,77.56988774
6620,Contra Costa,32.36,28.31,43.15,0.0,62.52,99.5,54.92911309
7408,Orange ,28.43,59.03,38.03,0.0,69.05,34.53,80.44574158
3279,Los Angeles,55.89,84.23,77.09,0.0,57.73,21.39,22.29987294
499,Orange ,51.8,71.63,84.41,76.59,88.26,41.06,
3539,Los Angeles,77.27,58.95,70.04,0.0,9.64,80.33,54.01437987
4330,Orange ,46.92,69.7,80.75,0.0,99.06,48.61,38.33295168
5256,Fresno ,81.76,96.4,76.07,0.0,7.06,82.29,40.17259598
3916,Orange ,41.71,72.1,71.57,0.0,37.4,57.4,34.92442323
4903,Merced ,70.85,64.6,45.81,96.61,34.69,59.34,21.0756723
4497,Los Angeles,9.97,82.69,59.78,0.0,40.09,98.7,32.17218213
5663,Tulare ,91.16,97.95,63.66,0.0,47.3,55.89,35.82320015
3114,Sacramento ,62.57,40.02,39.13,0.0,71.42,84.92,47.30679157
5947,Los Angeles,64.89,91.49,74.79,2.39,94.01,14.44,44.9117175
6593,Imperial ,45.56,10.64,20.08,76.42,7.45,97.18,41.98847262
5353,Riverside ,91.18,93.3,28.96,15.21,26.57,58.6,20.5032784
3870,San Joaquin,46.0,46.0,51.9,57.99,35.1,43.67,48.87757464
5327,Contra Costa,0.0,17.25,52.35,30.79,41.27,92.55,53.17476732
2973,Riverside ,97.99,6.72,69.82,0.0,81.76,89.78,55.46970313
4835,Sacramento ,74.28,40.68,54.64,0.0,62.48,62.03,58.84409708
6878,Riverside ,93.88,80.06,63.44,51.01,81.08,61.54,27.45003997
4140,San Francisco,0.0,17.43,61.25,0.0,34.35,64.84,43.96085501
3871,Los Angeles,76.59,59.54,48.89,0.0,46.69,80.83,41.43600987
5918,Tulare ,92.55,90.81,23.35,86.45,5.11,33.75,59.79671618
5989,Fresno ,57.92,,14.5,88.18,3.98,36.1,71.8478986
6205,Los Angeles,7.77,81.47,71.33,0.0,35.46,97.8,63.24786325
7175,Los Angeles,60.96,86.87,64.93,53.6,44.51,20.13,37.94387171
3709,Los Angeles,31.87,78.34,86.03,0.0,59.61,27.29,36.22276029
3670,Los Angeles,42.91,78.46,87.18,0.0,27.59,52.9,59.97385621
4678,Fresno ,89.82,93.45,76.56,0.0,30.56,34.48,42.84865293
5428,Los Angeles,76.67,91.39,67.33,0.0,78.23,36.05,25.2236136
4363,Tulare ,86.69,98.38,20.17,59.42,1.57,86.54,51.28001588
6015,Orange ,7.06,49.31,65.64,67.22,66.9,23.77,47.9704797
5765,Tulare ,91.29,98.02,46.31,16.94,47.39,77.83,24.69643557
7165,Los Angeles,0.0,65.94,92.94,0.0,50.93,89.16,42.12240467
