Total Population,California County,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty
4195,San Bernardino,92.73,96.1,94.57,26.83,35.92,73.94,66.50027732
1604,Los Angeles,38.58,86.15,98.39,0.0,77.27,97.87,64.48040886
2274,Los Angeles,40.55,87.66,98.34,0.0,97.98,71.51,47.22682119
1954,Los Angeles,58.3,89.17,84.25,10.1,46.25,54.77,68.61564918
4321,San Bernardino,90.03,95.95,91.67,29.79,37.68,56.31,55.17426273
5281,San Joaquin,46.12,43.38,44.6,89.77,73.73,80.05,50.53713218
3427,Tulare ,85.89,98.45,21.7,94.22,41.8,61.56,73.73183438
1595,Los Angeles,64.01,89.87,93.85,0.0,51.94,64.28,73.56134636
2406,Merced ,73.04,65.47,85.76,68.12,52.97,85.12,64.97005988
4724,Los Angeles,25.6,85.94,81.69,0.0,54.85,94.42,73.78253568
4707,Los Angeles,40.19,88.0,97.98,0.0,94.45,53.26,52.054155
4261,Los Angeles,20.86,84.43,81.38,0.0,93.68,96.64,79.22979798
4160,Los Angeles,46.96,87.32,95.58,0.0,26.11,54.9,64.8410304
8795,San Bernardino,88.76,95.27,89.99,56.29,35.42,74.52,63.17520959
3617,San Bernardino,98.35,70.86,88.57,0.0,83.4,92.9,55.50184817
3116,Los Angeles,44.57,87.95,98.21,0.0,94.31,77.66,75.09578544
6551,Stanislaus ,59.04,50.14,56.75,94.75,51.29,81.33,59.01817617
6139,San Bernardino,95.11,95.2,93.23,0.0,77.42,78.07,53.2283692
6037,San Bernardino,96.12,92.9,71.49,0.66,88.79,91.18,58.9492431
3876,Riverside ,92.06,95.12,92.14,0.0,79.39,39.59,54.61346633
3273,Los Angeles,43.07,88.08,98.21,0.0,94.08,82.11,66.84659091
4841,San Bernardino,95.84,93.49,71.42,14.48,88.55,79.26,62.62160778
4464,Los Angeles,41.27,88.26,94.66,3.62,85.79,55.94,35.00550055
5350,Los Angeles,19.43,80.63,70.26,0.0,77.07,95.46,76.80564675
3981,San Bernardino,98.75,69.35,80.06,0.0,30.59,99.95,86.51817116
8384,San Joaquin,42.53,43.77,68.46,71.37,40.93,88.4,64.23728814
6006,San Joaquin,49.32,43.91,61.25,83.26,72.13,89.57,33.60287511
4329,Fresno ,84.82,97.24,85.93,37.4,40.44,85.88,73.41797262
3570,San Joaquin,46.57,43.89,27.55,90.63,59.67,77.51,61.93458594
6893,Los Angeles,44.25,82.89,99.12,0.0,97.57,41.11,66.30798313
2683,Los Angeles,48.43,84.34,99.49,0.0,93.5,46.04,58.3772392
2068,Los Angeles,36.58,86.47,97.91,0.0,90.37,80.43,85.39731682
2888,Fresno ,82.77,97.63,65.83,0.0,24.35,93.98,83.79416283
3977,San Joaquin,43.62,43.67,48.5,60.91,83.96,88.45,63.80009005
4414,Los Angeles,44.97,88.07,98.08,0.0,73.27,82.11,68.74468085
4165,Los Angeles,32.56,85.93,79.95,60.94,97.07,47.57,69.97245179
3520,Fresno ,85.39,97.38,93.14,67.05,29.69,94.8,65.75660761
3848,Los Angeles,84.29,94.03,84.49,0.0,42.68,72.63,87.42445374
4615,Fresno ,76.68,98.14,24.49,91.07,11.66,98.1,46.65744583
3996,Los Angeles,85.07,94.2,76.71,0.0,87.66,73.08,68.69300912
2860,Fresno ,84.94,97.44,96.45,79.04,26.19,95.4,90.81081081
5840,San Bernardino,95.53,94.44,83.49,5.88,93.69,77.39,51.85077237
4921,Los Angeles,80.5,56.17,85.91,0.0,87.64,77.2,52.40724382
6922,Riverside ,95.72,88.19,93.24,0.0,85.06,97.44,53.28165375
2985,San Bernardino,91.19,96.16,95.49,39.55,79.03,53.66,29.99579302
6178,San Bernardino,96.0,91.21,46.72,24.58,21.58,92.8,68.87357699
4287,Riverside ,95.24,91.48,47.48,0.0,84.98,59.31,61.7305586
5882,Fresno ,85.14,97.36,85.78,6.21,36.6,94.71,77.68910479
4793,San Bernardino,93.45,96.05,95.53,61.04,97.72,75.73,42.30355221
3415,Los Angeles,44.62,88.63,90.43,0.0,34.99,60.08,54.71698113
8171,Tulare ,89.02,98.33,22.59,85.35,22.39,76.57,68.8563131
6616,Los Angeles,4.62,71.14,87.31,53.04,78.71,89.67,44.7609209
7590,San Bernardino,98.47,74.24,71.47,0.0,73.38,97.13,70.50379961
7111,Kern ,81.38,99.67,95.12,0.0,54.15,87.79,80.25720746
5791,San Bernardino,98.9,71.74,76.76,0.0,86.85,98.99,72.99107143
2077,Los Angeles,46.35,83.37,99.78,0.0,92.27,10.25,77.02642185
5066,Los Angeles,50.41,81.89,96.97,0.0,92.68,45.05,70.7360157
3081,Los Angeles,51.73,80.48,96.32,0.0,90.64,56.13,58.71051775
1380,Los Angeles,34.84,80.45,79.73,0.0,64.53,68.47,48.25129534
5303,Los Angeles,30.22,85.86,94.55,0.0,99.61,86.65,80.97481057
5085,Los Angeles,60.49,89.1,84.25,41.18,46.71,55.15,69.41460206
5944,Los Angeles,57.18,73.31,90.6,0.0,50.77,43.36,56.10859729
4966,Los Angeles,29.34,85.69,94.36,0.0,99.88,90.89,72.66935655
5250,Los Angeles,0.0,65.31,92.8,0.0,68.54,78.51,66.49598908
4555,Fresno ,91.13,96.76,97.61,0.0,77.85,92.53,74.99467065
5968,Los Angeles,27.95,85.91,86.7,0.0,99.39,87.02,75.05910165
5263,Los Angeles,26.98,85.73,86.59,0.0,99.65,90.89,76.26982534
5001,San Joaquin,43.47,43.06,68.68,0.0,78.77,92.99,61.41922984
3812,Riverside ,95.56,79.02,97.75,0.0,45.13,71.44,70.3985932
4787,Los Angeles,43.82,87.06,99.22,0.0,54.95,79.04,64.10925889
2295,Los Angeles,33.51,86.33,90.2,70.11,96.05,47.57,66.1160925
6759,Los Angeles,0.0,73.5,90.36,0.0,76.87,93.44,51.2908287
2439,Los Angeles,70.34,63.96,75.89,0.27,82.6,73.36,64.46725318
9109,Fresno ,80.52,97.77,59.58,90.93,30.72,86.34,61.62532574
3927,Los Angeles,20.22,84.1,81.0,0.0,94.66,96.64,74.52068618
4409,Los Angeles,17.13,80.56,70.43,0.0,72.68,95.46,79.66144517
5897,Riverside ,93.48,91.52,56.42,40.68,73.34,58.61,37.52674369
5170,Los Angeles,85.47,94.76,83.63,0.0,18.7,69.86,75.63165588
