Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl,Cardiovascular Disease Pctl
4448,Santa Clara,95148,-121.7889643,37.3206847,22.34,52.61,19.15,0.0,28.88,20.61,20.64,24.47
5547,Los Angeles,90803,-118.1387992,33.7556821,31.84,66.23,39.44,0.0,40.78,21.95,33.75,45.57
7816,Contra Costa,94583,-121.982097,37.7679943,22.34,20.16,43.2,10.77,87.72,36.6,2.56,40.26
2817,Yolo ,95616,-121.783716,38.5499958,40.49,17.81,11.64,79.29,4.47,13.04,66.81,33.29
6643,Orange ,92808,-117.7320838,33.8373291,69.23,69.14,18.94,0.0,61.04,6.69,5.13,20.92
4910,Solano ,95687,-121.9655186,38.3258768,31.84,17.81,41.8,0.0,31.53,77.23,8.75,63.21
6377,El Dorado,95682,-120.937104,38.6377284,77.87,30.7,4.88,22.89,38.76,31.01,43.77,52.51
15174,Orange ,92651,-117.7988845,33.585416,60.88,32.61,19.8,0.0,74.92,4.99,10.96,5.62
3412,San Diego,92029,-117.0871019,33.0829769,60.88,52.61,39.27,0.0,88.61,8.25,7.4,16.72
3911,Santa Clara,95050,-121.9620692,37.347132,16.94,52.61,72.59,0.0,43.68,35.1,26.12,51.94
6085,Contra Costa,94523,-122.0766292,37.9619967,22.34,17.81,60.06,0.0,24.77,46.39,30.6,31.01
5996,Orange ,92675,-117.6810904,33.4940632,60.88,30.7,34.65,14.2,35.41,11.13,20.39,11.28
2934,Placer ,95701,-120.7181379,39.2241768,77.87,7.76,7.8,39.44,21.41,3.37,38.69,0.42
4580,Riverside ,92253,-116.3048264,33.6834927,91.1,17.81,12.11,0.0,14.89,26.46,76.72,42.55
7377,Santa Clara,95014,-122.0226572,37.3166376,16.94,52.61,52.41,0.0,37.02,0.72,9.35,10.6
6834,Santa Clara,94087,-122.0562245,37.3626565,16.94,52.61,71.19,0.0,71.46,2.97,3.31,12.18
